epoch,train_score,train_loss,best_epoch,best_value,early_stop_wait,learning_rate,epoch_time_sec,total_training_time_sec,avg_epoch_time_sec
101,15.72161747619629,-0.3226851468276978,99,15.71881379486084,2,1e-05,105.2391197681427,10425.23926281929,103.22019072098307
102,15.71869551513672,-0.32267071575164796,102,15.71869551513672,0,1e-05,104.86084747314453,10530.752413511276,103.24267072069878
103,15.722291896972656,-0.32198397792816164,102,15.71869551513672,1,1e-05,103.83862543106079,10634.722222328186,103.24973031386588
104,15.719262548828125,-0.3213695529651642,102,15.71869551513672,2,1e-05,104.07612228393555,10738.924846410751,103.25889275394954
105,15.72023349182129,-0.3225002614402771,102,15.71869551513672,3,1e-05,103.4859185218811,10842.537261486053,103.26225963320051
106,15.720354729919434,-0.3219413253211975,102,15.71869551513672,4,1e-05,103.17019557952881,10945.95522737503,103.2637285601418
107,15.719279472351074,-0.32152570212364195,102,15.71869551513672,5,1e-05,103.12851142883301,11049.208182096481,103.26362787006057
108,15.72245488494873,-0.3222918852615356,102,15.71869551513672,6,1e-05,103.14899706840515,11152.478997707367,103.26369442321636
109,15.721242640075683,-0.32144412996292115,102,15.71869551513672,7,1e-05,103.51897764205933,11256.125252485275,103.26720415124106
110,15.71687891571045,-0.3218381679439545,110,15.71687891571045,0,1e-05,103.35837626457214,11359.602831602097,103.26911665092815
111,15.720557891540528,-0.32165251214027407,110,15.71687891571045,1,1e-05,103.3348400592804,11463.258667945862,103.27260061212488
112,15.717599953918457,-0.32211069248199464,110,15.71687891571045,2,1e-05,103.28219413757324,11566.66402554512,103.27378594236714
113,15.715628237609863,-0.321670345993042,113,15.715628237609863,0,1e-05,103.13643169403076,11669.923175811768,103.27365642311298
114,15.713635400390626,-0.32128818088531497,114,15.713635400390626,0,1e-05,103.51745963096619,11773.565373182297,103.2768892384412
115,15.713410939941406,-0.32077757620811465,115,15.713410939941406,0,1e-05,103.28518033027649,11876.972477436066,103.2780215429223
116,15.71754687713623,-0.3216320171451569,115,15.713410939941406,1,1e-05,103.13937330245972,11980.357319116592,103.27894240617752
117,15.716050412597657,-0.32024187499046325,115,15.713410939941406,2,1e-05,103.40681338310242,12083.891129016876,103.281120760828
118,15.715693768005371,-0.320677731590271,115,15.713410939941406,3,1e-05,102.93689107894897,12186.950075387955,103.27923792701657
119,15.715244707336426,-0.32110987753868103,115,15.713410939941406,4,1e-05,103.1868417263031,12290.25941991806,103.27949092368118
120,15.71338513885498,-0.3204074266719818,115,15.713410939941406,5,1e-05,103.21557807922363,12393.596584796906,103.27997153997421
121,15.71339262512207,-0.32049579174995424,115,15.713410939941406,6,1e-05,103.1068696975708,12497.04434466362,103.2813582203605
122,15.714761264343261,-0.31989434695243835,115,15.713410939941406,7,1e-05,103.27141547203064,12600.443950414658,103.28232746241522
123,15.71616712890625,-0.3202851795864105,115,15.713410939941406,8,1e-05,103.6048800945282,12704.17835855484,103.28600291508
124,15.716404092712402,-0.31981285939216614,115,15.713410939941406,9,1e-05,103.22500443458557,12807.537071943283,103.28658928986519
125,15.713557380981445,-0.31936315638542173,115,15.713410939941406,10,1e-05,103.96919703483582,12911.635437726974,103.2930835018158
126,15.710479282226563,-0.3201579812526703,126,15.710479282226563,0,1e-05,103.60145235061646,13015.481065750122,103.29746877579461
127,15.713116785583496,-0.3197197268390656,126,15.710479282226563,1,1e-05,103.63461256027222,13119.242553710938,103.30112247016486
128,15.710416248474122,-0.3198426642131805,126,15.710479282226563,2,1e-05,103.66727113723755,13223.030307292938,103.30492427572608
129,15.714503442077637,-0.3188419451808929,126,15.710479282226563,3,1e-05,103.55001735687256,13326.701635599136,103.30776461704757
130,15.714059492492677,-0.32042121804237367,126,15.710479282226563,4,1e-05,103.77404546737671,13430.602061748505,103.31232355191158
131,15.7094230368042,-0.3189846567249298,131,15.7094230368042,0,1e-05,103.85034561157227,13534.786437034607,103.31898043537868
132,15.709640764160156,-0.3179327975463867,131,15.7094230368042,1,1e-05,103.53522515296936,13638.445547580719,103.32155717864181
133,15.71198858001709,-0.31920747544288636,131,15.7094230368042,2,1e-05,103.48798108100891,13742.054559469223,103.3237184922498
134,15.712652536621095,-0.31816816363334655,131,15.7094230368042,3,1e-05,103.71086120605469,13845.887675523758,103.3275199665952
135,15.712881604003906,-0.31843843542099,131,15.7094230368042,4,1e-05,103.69913125038147,13949.70923781395,103.3311795393626
136,15.711976175231934,-0.3182334117221832,131,15.7094230368042,5,1e-05,103.48204946517944,14053.430794477463,103.33404995939311
137,15.709413418273925,-0.3180880419445038,131,15.7094230368042,6,1e-05,104.1564564704895,14157.70963048935,103.34094620795146
138,15.709800766296386,-0.317766543970108,131,15.7094230368042,7,1e-05,104.08855748176575,14261.920664787292,103.34725119411081
139,15.706635861816407,-0.3179025390529633,139,15.706635861816407,0,1e-05,103.55574488639832,14365.598733186722,103.3496311740052
140,15.708641349792481,-0.3177463886165619,139,15.706635861816407,1,1e-05,103.80346035957336,14469.523613452911,103.35374009609222
141,15.708649327087402,-0.31711208305358884,139,15.706635861816407,2,1e-05,103.62176036834717,14573.488221406937,103.35807249224777
142,15.70996535949707,-0.3171712588405609,139,15.706635861816407,3,1e-05,103.67743730545044,14677.291391134262,103.36120697981875
143,15.705903955993652,-0.3180000050640106,143,15.705903955993652,0,1e-05,103.48615503311157,14780.901843309402,103.3629499532126
144,15.706939965820313,-0.31668549078941344,143,15.705903955993652,1,1e-05,103.41837048530579,14884.444806337357,103.36420004400942
145,15.705311633605957,-0.3151899112701416,145,15.705311633605957,0,1e-05,103.50431990623474,14988.075299024582,103.36603654499712
