epoch,train_score,train_loss,best_epoch,best_value,early_stop_wait,learning_rate,epoch_time_sec,total_training_time_sec,avg_epoch_time_sec
1,20.251103327026367,-3.4902973040008547,1,20.251103327026367,0,0.0001,106.55985808372498,106.55997967720032,106.55997967720032
2,17.263914360961913,-1.9570463372802733,2,17.263914360961913,0,0.0001,106.05713701248169,212.6174876689911,106.30874383449554
3,16.971824515991212,-1.4305137384033204,3,16.971824515991212,0,0.0001,106.08499312400818,319.28650856018066,106.42883618672688
4,16.807510673828126,-1.178813602180481,4,16.807510673828126,0,0.0001,106.28780341148376,425.7046558856964,106.4261639714241
5,16.692326904907226,-1.0303900477981567,5,16.692326904907226,0,0.0001,106.52593779563904,532.3546378612518,106.47092757225036
6,16.600789522705078,-0.926441776638031,6,16.600789522705078,0,0.0001,106.69560933113098,639.2988641262054,106.54981068770091
7,16.525851201782228,-0.8555233719062805,7,16.525851201782228,0,0.0001,106.94228649139404,746.3573913574219,106.6224844796317
8,16.46445040527344,-0.8015364777946472,8,16.46445040527344,0,0.0001,106.92251563072205,853.4055662155151,106.67569577693939
9,16.412113991088866,-0.7529223283004761,9,16.412113991088866,0,0.0001,107.26042819023132,960.794499874115,106.75494443045721
10,16.37525525024414,-0.7105501256179809,10,16.37525525024414,0,0.0001,106.77623081207275,1067.7025105953217,106.77025105953217
11,16.337663767700196,-0.6759434250831604,11,16.337663767700196,0,0.0001,107.13055515289307,1175.16535282135,106.83321389285001
12,16.312246865844727,-0.6484067708778382,12,16.312246865844727,0,0.0001,107.1887481212616,1282.5762600898743,106.88135500748952
13,16.284555717773436,-0.6218171772193909,13,16.284555717773436,0,0.0001,107.15406513214111,1389.8595175743103,106.91227058263925
14,16.259476464233398,-0.600229361038208,14,16.259476464233398,0,0.0001,107.29811477661133,1497.282658815384,106.948761343956
15,16.23924194030762,-0.5814338291931153,15,16.23924194030762,0,0.0001,107.11261773109436,1604.5493609905243,106.96995739936828
16,16.227082237548828,-0.562967432231903,16,16.227082237548828,0,0.0001,107.12084436416626,1711.9189143180847,106.9949321448803
17,16.209659469604492,-0.5473276866722107,17,16.209659469604492,0,0.0001,107.1092414855957,1819.1630532741547,107.00959136906792
18,16.19068097290039,-0.535033024597168,18,16.19068097290039,0,0.0001,106.87237811088562,1926.1653752326965,107.00918751292758
19,16.175528919677735,-0.520726658706665,19,16.175528919677735,0,0.0001,106.95899939537048,2033.2573335170746,107.01354386931972
20,16.165502962646485,-0.5112407829093933,20,16.165502962646485,0,0.0001,106.71988821029663,2140.1145281791687,107.00572640895844
21,16.15360914428711,-0.4973525316905975,21,16.15360914428711,0,0.0001,106.83810377120972,2247.293423652649,107.01397255488804
22,16.14104208557129,-0.4897833280849457,22,16.14104208557129,0,0.0001,107.01221990585327,2354.437712907791,107.01989604126324
23,16.130866127319337,-0.4784635228061676,23,16.130866127319337,0,0.0001,106.84982800483704,2461.4202761650085,107.0182728767395
24,16.11945530944824,-0.47376736987113954,24,16.11945530944824,0,0.0001,106.61838746070862,2568.1740279197693,107.00725116332372
25,16.108452387695312,-0.46703235125541687,25,16.108452387695312,0,0.0001,106.58826661109924,2674.8851993083954,106.99540797233581
26,16.097242229003907,-0.45891268169403077,26,16.097242229003907,0,0.0001,106.68736362457275,2781.810891389847,106.99272659191719
27,16.0881012878418,-0.45213099157333375,27,16.0881012878418,0,0.0001,106.77818727493286,2888.810954093933,106.9929982997753
28,16.081852737426757,-0.4458566219043732,28,16.081852737426757,0,0.0001,107.07468461990356,2996.0083298683167,107.00029749529702
29,16.070291569213868,-0.4376672738647461,29,16.070291569213868,0,0.0001,106.93582797050476,3103.067239999771,107.00231862068176
30,16.06538082092285,-0.4349432363033295,30,16.06538082092285,0,0.0001,106.80857682228088,3210.0029287338257,107.00009762446085
31,16.05991051940918,-0.4308960272884369,31,16.05991051940918,0,0.0001,106.93571925163269,3317.269711494446,107.00870037078857
32,16.052811272583007,-0.4265825469779968,32,16.052811272583007,0,0.0001,107.64121866226196,3425.038210630417,107.03244408220053
33,16.043793963623045,-0.4227368668746948,33,16.043793963623045,0,0.0001,107.3245677947998,3532.48912024498,107.04512485590848
34,16.04012828857422,-0.4201157062911987,34,16.04012828857422,0,0.0001,106.80889964103699,3639.423676252365,107.04187283095192
35,16.027461156616212,-0.42239365818977354,35,16.027461156616212,0,0.0001,106.94032502174377,3746.487828016281,107.04250937189374
36,16.021849360656738,-0.42305549819946286,36,16.021849360656738,0,0.0001,106.79810166358948,3853.5396835803986,107.0427689883444
37,16.014397799072267,-0.4254137706279755,37,16.014397799072267,0,0.0001,108.23035931587219,3961.9006094932556,107.07839485116907
