epoch,train_score,train_loss,best_epoch,best_value,early_stop_wait,learning_rate,epoch_time_sec,total_training_time_sec,avg_epoch_time_sec
1,19.54469975769043,-3.5380035639190672,1,19.54469975769043,0,0.0001,111.73048305511475,111.73061633110046,111.73061633110046
2,17.123171500854493,-2.1847124266052247,2,17.123171500854493,0,0.0001,110.92431879043579,222.65551781654358,111.32775890827179
3,16.868603663330077,-1.673965278778076,3,16.868603663330077,0,0.0001,110.43224334716797,333.78835344314575,111.26278448104858
4,16.735687956542968,-1.423003366470337,4,16.735687956542968,0,0.0001,110.1469373703003,444.07045793533325,111.01761448383331
5,16.64445578552246,-1.2563086866378783,5,16.64445578552246,0,0.0001,110.56320476531982,554.7576787471771,110.95153574943542
6,16.561554287109374,-1.1359162650299073,6,16.561554287109374,0,0.0001,110.38977456092834,665.413227558136,110.90220459302266
7,16.49610342285156,-1.042878562221527,7,16.49610342285156,0,0.0001,110.89745783805847,776.4353568553925,110.9193366936275
8,16.435655791625976,-0.9695890240859986,8,16.435655791625976,0,0.0001,111.20072102546692,887.76620221138,110.9707752764225
9,16.382183193359374,-0.9140839837646484,9,16.382183193359374,0,0.0001,111.3919129371643,999.2884492874146,111.03204992082384
10,16.33932500061035,-0.868869951210022,10,16.33932500061035,0,0.0001,110.77556228637695,1110.197241783142,111.0197241783142
11,16.295199372558592,-0.8259341690444947,11,16.295199372558592,0,0.0001,110.57213950157166,1221.1292581558228,111.01175074143843
12,16.265494658813477,-0.786310994644165,12,16.265494658813477,0,0.0001,110.38158226013184,1331.7473912239075,110.97894926865895
13,16.235717543945313,-0.7540059896087646,13,16.235717543945313,0,0.0001,110.67951774597168,1442.5591027736664,110.96608482874356
14,16.211154916992186,-0.7213079617881775,14,16.211154916992186,0,0.0001,110.82515597343445,1553.514481306076,110.96532009329114
15,16.187284227905273,-0.6936775583267212,15,16.187284227905273,0,0.0001,110.68550682067871,1664.3300037384033,110.95533358256021
16,16.170334407348633,-0.6688391750335694,16,16.170334407348633,0,0.0001,111.06281065940857,1775.6525704860687,110.9782856553793
17,16.14742083679199,-0.6455265904808044,17,16.14742083679199,0,0.0001,110.8541419506073,1886.6391823291779,110.97877543112811
18,16.134462561035157,-0.626670525341034,18,16.134462561035157,0,0.0001,111.18358159065247,1997.958241701126,110.997680094507
19,16.117922653198242,-0.6073374570655823,19,16.117922653198242,0,0.0001,111.06312227249146,2109.158849477768,111.00836049882989
20,16.104755451049805,-0.5913629913902283,20,16.104755451049805,0,0.0001,110.81295371055603,2220.1169531345367,111.00584765672684
21,16.090852669677734,-0.5736182907676697,21,16.090852669677734,0,0.0001,111.0217535495758,2331.505044698715,111.02404974755787
22,16.080270629272462,-0.5597469026374817,22,16.080270629272462,0,0.0001,110.8174180984497,2442.4659147262573,111.02117794210261
23,16.06675145690918,-0.5474941124916076,23,16.06675145690918,0,0.0001,110.83216953277588,2553.438733100891,111.01907535221265
24,16.054761381835938,-0.5343618369865417,24,16.054761381835938,0,0.0001,111.14118313789368,2664.7156307697296,111.02981794873874
25,16.046203127441405,-0.5218051859855651,25,16.046203127441405,0,0.0001,110.79272818565369,2775.6275079250336,111.02510031700135
26,16.035642391967773,-0.5100535405254364,26,16.035642391967773,0,0.0001,110.9326159954071,2886.80189538002,111.03084213000078
27,16.027353267211915,-0.502928926448822,27,16.027353267211915,0,0.0001,111.07523250579834,2997.9990513324738,111.03700190120273
28,16.022534481811523,-0.49147268458366394,28,16.022534481811523,0,0.0001,110.75663876533508,3108.877720117569,111.03134714705604
29,16.00876064880371,-0.48414540860176086,29,16.00876064880371,0,0.0001,111.23067927360535,3220.2329664230347,111.04251608355293
30,16.003772544555662,-0.4753301147842407,30,16.003772544555662,0,0.0001,110.82148790359497,3331.1849942207336,111.03949980735779
31,15.999828035888672,-0.4656598889923096,31,15.999828035888672,0,0.0001,111.10588240623474,3442.627552986145,111.05250170923048
32,15.986080215148926,-0.4576728627872467,32,15.986080215148926,0,0.0001,110.67232513427734,3553.4262001514435,111.04456875473261
33,15.98552745727539,-0.45055193801879884,33,15.98552745727539,0,0.0001,110.78072786331177,3664.3368713855743,111.04051125410831
34,15.976876306152343,-0.4452303054618835,34,15.976876306152343,0,0.0001,110.9337854385376,3775.402676820755,111.04125520061044
35,15.967139226684571,-0.4380201598262787,35,15.967139226684571,0,0.0001,110.7399377822876,3886.272250175476,111.0363500050136
36,15.963374806823731,-0.43116568241119385,36,15.963374806823731,0,0.0001,111.20837259292603,3997.7507281303406,111.0486313369539
37,15.960756137695313,-0.42712726672172546,37,15.960756137695313,0,0.0001,110.90575623512268,4108.788480997086,111.04833732424555
38,15.954222109069825,-0.41859446999549865,38,15.954222109069825,0,0.0001,111.25002312660217,4220.172532558441,111.05717190943267
39,15.949290854492187,-0.4164399404335022,39,15.949290854492187,0,0.0001,111.13740515708923,4331.444151639938,111.06267055487021
40,15.943864212036132,-0.40967899134635927,40,15.943864212036132,0,0.0001,111.14647650718689,4442.724303007126,111.06810757517815
41,15.936981112976074,-0.4023687265396118,41,15.936981112976074,0,0.0001,111.8731620311737,4554.9544286727905,111.09644947982416
42,15.932090703735351,-0.39873901463508604,42,15.932090703735351,0,0.0001,111.00536251068115,4666.095658302307,111.09751567386445
43,15.93019075012207,-0.39218970693588256,43,15.93019075012207,0,0.0001,111.64037036895752,4777.880902051926,111.11350935004478
44,15.924746598815918,-0.39026542992591856,44,15.924746598815918,0,0.0001,111.13271498680115,4889.150457143784,111.1170558441769
45,15.922036975402833,-0.38380994720458983,45,15.922036975402833,0,0.0001,110.74261164665222,5000.039340019226,111.11198533376059
46,15.9137487109375,-0.3796609108257294,46,15.9137487109375,0,0.0001,110.80662798881531,5111.12757563591,111.11146903556326
47,15.911693770446778,-0.37738946267127993,47,15.911693770446778,0,0.0001,111.01080965995789,5222.283336400986,111.11241141278693
48,15.905936194763184,-0.3716548309707642,48,15.905936194763184,0,0.0001,111.05857706069946,5333.464559793472,111.11384499569733
49,15.903505351257325,-0.3694172022533417,49,15.903505351257325,0,0.0001,111.28894519805908,5444.880717039108,111.12001463345119
50,15.897564731750489,-0.36479249826431276,50,15.897564731750489,0,0.0001,111.11230087280273,5556.120760679245,111.1224152135849
51,15.893409433898926,-0.36088599390983583,51,15.893409433898926,0,0.0001,111.1728150844574,5667.637211084366,111.1301413938111
52,15.892101883239746,-0.3574500103664398,52,15.892101883239746,0,0.0001,110.97902798652649,5778.738822221756,111.12959273503377
53,15.885785885925293,-0.35299598205566407,53,15.885785885925293,0,0.0001,110.79600167274475,5889.670829772949,111.12586471269715
54,15.885100314636231,-0.35182369612693787,54,15.885100314636231,0,0.0001,110.80303597450256,6000.607089519501,111.12235350962038
55,15.882556604919433,-0.3466644548416138,55,15.882556604919433,0,0.0001,111.03634238243103,6111.779065132141,111.1232557296753
56,15.879307892761231,-0.34538192372322085,56,15.879307892761231,0,0.0001,111.54164600372314,6223.569654226303,111.13517239689827
57,15.876296979980468,-0.34344120663642885,57,15.876296979980468,0,0.0001,111.18657350540161,6334.879778385162,111.13824172605548
58,15.872058858337402,-0.3398980790042877,58,15.872058858337402,0,0.0001,110.58106660842896,6445.588132381439,111.1308298686455
59,15.870232041625977,-0.33607062477111815,59,15.870232041625977,0,0.0001,111.1029851436615,6556.828182697296,111.13268106266604
