instance_id,lkh_cost,baseline_cost,baseline_gap_percent,baseline_feature_mode,baseline_best_batch_idx,baseline_best_pomo_idx,full_learnable_cost,full_learnable_gap_percent,full_learnable_feature_mode,full_learnable_best_batch_idx,full_learnable_best_pomo_idx,scheduled_bias_cost,scheduled_bias_gap_percent,scheduled_bias_feature_mode,scheduled_bias_best_batch_idx,scheduled_bias_best_pomo_idx,wo_all_bias_cost,wo_all_bias_gap_percent,wo_all_bias_feature_mode,wo_all_bias_best_batch_idx,wo_all_bias_best_pomo_idx,wo_fusion_gate_cost,wo_fusion_gate_gap_percent,wo_fusion_gate_feature_mode,wo_fusion_gate_best_batch_idx,wo_fusion_gate_best_pomo_idx,wo_group_embedding_cost,wo_group_embedding_gap_percent,wo_group_embedding_feature_mode,wo_group_embedding_best_batch_idx,wo_group_embedding_best_pomo_idx,best_model_key,best_model_cost,best_model_gap_percent
kroA100-C-3-1-a,22845.0,29199.0,27.813525935653317,mds,7,10,27352.0,19.728605821842855,mds,6,9,26325.0,15.233092580433356,mds,2,1,25725.0,12.606697307944845,mds,3,32,28407.0,24.346684175968484,mds,6,33,25964.0,13.652878091486102,mds,7,14,wo_all_bias,25725.0,12.606697307944845
kroA100-C-5-1-a,22589.0,28152.0,24.62703085572624,mds,7,6,25398.0,12.435256098100846,mds,3,1,26725.0,18.30979680375404,mds,3,5,26978.0,19.429810969941123,mds,1,0,25753.0,14.006817477533312,mds,1,9,27070.0,19.837088848554608,mds,2,2,full_learnable,25398.0,12.435256098100846
kroB100-C-3-1-a,22141.0,30248.0,36.61532902759586,mds,0,11,28024.0,26.570615600018066,anchor,1,7,27413.0,23.811029312135858,mds,4,33,26993.0,21.9140960209566,mds,6,10,29819.0,34.67774716589133,mds,2,35,26590.0,20.093943362991734,mds,0,19,wo_group_embedding,26590.0,20.093943362991734
kroB100-C-5-1-a,23159.0,29968.0,29.401096765836176,mds,6,0,27163.0,17.28917483483743,mds,1,32,26805.0,15.743339522431885,mds,5,12,26410.0,14.037739107906214,mds,1,12,27538.0,18.90841573470357,mds,1,19,27711.0,19.655425536508485,mds,5,12,wo_all_bias,26410.0,14.037739107906214
kroC100-C-3-1-a,20910.0,28584.0,36.70014347202296,mds,5,24,25796.0,23.366810138689623,mds,6,11,24253.0,15.987565758010522,mds,4,20,25491.0,21.908177905308467,mds,3,43,26618.0,27.29794356767097,mds,3,32,23846.0,14.041128646580583,mds,4,28,wo_group_embedding,23846.0,14.041128646580583
kroC100-C-5-1-a,22827.0,28261.0,23.805143032373945,mds,6,0,27521.0,20.56336794147282,mds,5,0,28458.0,24.66815613089762,mds,2,1,27549.0,20.686029701669074,mds,6,4,29130.0,27.612038375607835,mds,7,13,25555.0,11.950760064835501,mds,3,0,wo_group_embedding,25555.0,11.950760064835501
kroD100-C-3-1-a,21944.0,27949.0,27.365111192125408,mds,2,0,26229.0,19.52697776157492,mds,3,19,25251.0,15.070178636529347,mds,1,27,28381.0,29.33375865840321,mds,1,24,28104.0,28.07145461173897,mds,6,11,25878.0,17.927451695224207,mds,7,15,scheduled_bias,25251.0,15.070178636529347
kroD100-C-5-1-a,25102.0,30196.0,20.29320372878655,mds,2,8,26782.0,6.692693809258227,mds,1,3,27218.0,8.429607202613337,mds,5,3,27877.0,11.054896024221177,mds,2,8,28182.0,12.269938650306749,mds,3,8,28654.0,14.150266911003106,mds,1,3,full_learnable,26782.0,6.692693809258227
kroE100-C-3-1-a,22121.0,33386.0,50.92446091948827,mds,3,11,29761.0,34.537317481126536,mds,4,6,27983.0,26.499706161565932,mds,6,8,31065.0,40.43216852764341,mds,3,11,28450.0,28.61082229555626,mds,4,10,25872.0,16.956737941322725,mds,0,2,wo_group_embedding,25872.0,16.956737941322725
kroE100-C-5-1-a,23611.0,28968.0,22.6885773580111,mds,6,14,27319.0,15.70454449197408,mds,2,1,26991.0,14.315361484054042,mds,1,4,26450.0,12.024056583795687,mds,2,1,27788.0,17.69090678073779,mds,2,14,27930.0,18.292321375630003,mds,0,1,wo_all_bias,26450.0,12.024056583795687
